entry_date,entry_price,exit_date,exit_price,pnl_pct,bars_held,exit_reason
2023-03-15T23:45:00,96.61,2023-03-15T23:47:00,96.45,-0.166,2,stop_loss
2023-03-15T23:48:00,96.45,2023-03-16T08:00:00,96.29,-0.166,12,stop_loss
2023-03-16T12:38:00,96.73,2023-03-16T12:44:00,96.55,-0.186,6,stop_loss
2023-03-16T12:45:00,96.53,2023-03-16T13:04:00,96.32,-0.218,19,stop_loss
2023-03-16T16:11:00,99.38,2023-03-16T16:49:00,100.2,0.825,38,take_profit
2023-03-16T19:47:00,100.28,2023-03-16T19:52:00,100.02,-0.259,5,stop_loss
2023-03-16T19:53:00,100.17,2023-03-16T20:45:00,99.91,-0.26,52,stop_loss
2023-03-17T15:39:00,100.58,2023-03-17T15:56:00,101.13,0.547,17,take_profit
2023-03-17T18:24:00,101.36,2023-03-17T18:40:00,101.15,-0.207,16,stop_loss
2023-03-20T15:56:00,101.11,2023-03-20T16:08:00,100.87,-0.237,12,stop_loss
2023-03-20T22:02:00,101.22,2023-03-20T22:21:00,101.37,0.148,19,take_profit
2023-03-20T22:46:00,101.22,2023-03-20T23:28:00,101.18,-0.04,42,stop_loss
2023-03-21T18:14:00,104.22,2023-03-21T18:20:00,103.97,-0.24,6,stop_loss
2023-03-21T18:21:00,103.9,2023-03-21T18:58:00,104.48,0.558,37,take_profit
2023-03-21T20:11:00,104.04,2023-03-21T20:51:00,104.92,0.846,40,take_profit
2023-03-21T21:52:00,104.55,2023-03-21T21:57:00,104.5,-0.048,5,stop_loss
2023-03-21T21:58:00,104.47,2023-03-21T22:13:00,104.37,-0.096,15,stop_loss
2023-03-22T16:12:00,105.13,2023-03-22T16:50:00,105.32,0.181,38,take_profit
2023-03-23T10:18:00,104.06,2023-03-23T10:23:00,104.0,-0.058,5,stop_loss
2023-03-23T10:24:00,104.0,2023-03-23T10:52:00,104.24,0.231,28,take_profit
2023-03-23T15:19:00,105.69,2023-03-23T16:07:00,106.13,0.416,48,take_profit
2023-03-23T17:10:00,105.71,2023-03-23T17:16:00,105.5,-0.199,6,stop_loss
2023-03-28T21:23:00,101.07,2023-03-28T21:31:00,101.18,0.109,8,take_profit
2023-03-28T22:19:00,101.05,2023-03-28T23:13:00,101.14,0.089,54,take_profit
2023-03-29T10:12:00,102.15,2023-03-29T10:51:00,102.1,-0.049,39,stop_loss
2023-03-30T09:50:00,101.51,2023-03-30T10:10:00,101.57,0.059,20,take_profit
2023-03-30T22:00:00,100.76,2023-03-30T22:28:00,100.72,-0.04,28,stop_loss
2023-03-31T09:54:00,100.89,2023-03-31T10:10:00,100.87,-0.02,16,stop_loss
2023-03-31T10:11:00,100.87,2023-03-31T10:19:00,100.82,-0.05,8,stop_loss
2023-03-31T16:14:00,102.34,2023-03-31T17:24:00,102.58,0.235,70,take_profit
2023-03-31T21:34:00,103.65,2023-03-31T21:40:00,103.61,-0.039,6,stop_loss
2023-03-31T21:41:00,103.61,2023-03-31T22:05:00,103.55,-0.058,24,stop_loss
2023-03-31T22:07:00,103.56,2023-03-31T23:01:00,103.65,0.087,54,take_profit
2023-03-31T23:59:00,103.55,2023-04-03T08:00:00,103.16,-0.377,1,stop_loss
2023-04-03T14:48:00,103.05,2023-04-03T14:53:00,102.77,-0.272,5,stop_loss
2023-04-03T17:01:00,102.97,2023-04-03T18:05:00,103.15,0.175,64,take_profit
2023-04-03T22:19:00,104.16,2023-04-03T22:40:00,104.22,0.058,21,take_profit
2023-04-03T23:59:00,104.08,2023-04-04T08:03:00,104.4,0.307,1,take_profit
2023-04-04T09:02:00,104.3,2023-04-04T09:10:00,104.41,0.105,8,take_profit
2023-04-04T21:09:00,104.72,2023-04-04T21:40:00,104.76,0.038,31,take_profit
2023-04-05T13:25:00,105.53,2023-04-05T13:34:00,105.27,-0.246,9,stop_loss
2023-04-05T22:04:00,104.32,2023-04-05T22:53:00,104.43,0.105,49,take_profit
2023-04-06T12:12:00,105.61,2023-04-06T12:31:00,105.2,-0.388,19,stop_loss
2023-04-06T16:55:00,106.86,2023-04-06T17:21:00,107.35,0.459,26,take_profit
2023-04-06T20:53:00,108.24,2023-04-06T21:02:00,105.88,-2.18,9,stop_loss
2023-04-10T19:45:00,106.32,2023-04-10T20:41:00,106.65,0.31,56,take_profit
2023-04-10T22:09:00,106.41,2023-04-10T22:13:00,106.48,0.066,4,take_profit
2023-04-10T23:18:00,106.47,2023-04-10T23:59:00,106.52,0.047,41,take_profit
2023-04-11T10:31:00,106.83,2023-04-11T10:41:00,106.77,-0.056,10,stop_loss
2023-04-11T10:42:00,106.77,2023-04-11T10:49:00,106.71,-0.056,7,stop_loss
2023-04-11T10:50:00,106.76,2023-04-11T10:52:00,106.71,-0.047,2,stop_loss
2023-04-11T10:53:00,106.71,2023-04-11T11:05:00,106.59,-0.112,12,stop_loss
2023-04-11T19:36:00,105.8,2023-04-11T19:40:00,105.62,-0.17,4,stop_loss
2023-04-11T19:41:00,105.68,2023-04-11T19:45:00,105.45,-0.218,4,stop_loss
2023-04-13T10:50:00,104.68,2023-04-13T11:03:00,104.9,0.21,13,take_profit
2023-04-13T14:59:00,106.41,2023-04-13T15:20:00,106.86,0.423,21,take_profit
2023-04-13T22:00:00,107.1,2023-04-13T22:28:00,107.23,0.121,28,take_profit
2023-04-14T16:45:00,107.52,2023-04-14T16:55:00,107.31,-0.195,10,stop_loss
2023-04-14T16:57:00,107.28,2023-04-14T17:08:00,107.81,0.494,11,take_profit
2023-04-14T23:52:00,108.91,2023-04-17T08:04:00,108.42,-0.45,12,stop_loss
2023-04-17T18:27:00,105.43,2023-04-17T18:41:00,105.81,0.36,14,take_profit
2023-04-17T21:18:00,105.79,2023-04-17T21:32:00,105.97,0.17,14,take_profit
2023-04-18T11:01:00,106.4,2023-04-18T11:31:00,106.69,0.273,30,take_profit
2023-04-19T18:33:00,104.52,2023-04-19T19:35:00,104.39,-0.124,62,stop_loss
2023-04-19T19:36:00,104.35,2023-04-19T19:43:00,104.23,-0.115,7,stop_loss
2023-04-20T18:05:00,105.76,2023-04-20T18:13:00,105.58,-0.17,8,stop_loss
2023-04-20T18:14:00,105.53,2023-04-20T18:20:00,105.38,-0.142,6,stop_loss
2023-04-20T18:21:00,105.33,2023-04-20T18:26:00,105.16,-0.161,5,stop_loss
2023-04-20T18:27:00,105.14,2023-04-20T19:02:00,105.42,0.266,35,take_profit
2023-04-20T22:43:00,105.7,2023-04-20T22:58:00,105.65,-0.047,15,stop_loss
2023-04-21T23:29:00,105.6,2023-04-24T08:00:00,105.0,-0.568,31,stop_loss
2023-04-24T14:37:00,105.74,2023-04-24T14:40:00,105.44,-0.284,3,stop_loss
2023-04-24T19:50:00,105.99,2023-04-24T21:15:00,105.85,-0.132,85,stop_loss
2023-04-25T21:39:00,106.92,2023-04-25T21:41:00,106.1,-0.767,2,stop_loss
2023-04-25T21:52:00,106.15,2023-04-25T22:18:00,105.3,-0.801,26,stop_loss
2023-04-26T15:31:00,104.78,2023-04-26T15:44:00,104.37,-0.391,13,stop_loss
2023-04-27T19:42:00,107.89,2023-04-27T19:55:00,107.61,-0.26,13,stop_loss
2023-04-27T19:56:00,107.52,2023-04-27T20:16:00,107.25,-0.251,20,stop_loss
2023-04-28T21:18:00,107.07,2023-04-28T21:26:00,107.01,-0.056,8,stop_loss
2023-05-01T10:48:00,107.12,2023-05-01T11:00:00,107.29,0.159,12,take_profit
2023-05-01T18:19:00,107.61,2023-05-01T18:31:00,107.46,-0.139,12,stop_loss
2023-05-01T18:32:00,107.41,2023-05-01T18:34:00,107.28,-0.121,2,stop_loss
2023-05-03T11:51:00,105.78,2023-05-03T12:01:00,104.98,-0.756,10,stop_loss
2023-05-04T09:32:00,106.06,2023-05-04T09:33:00,106.01,-0.047,1,stop_loss
2023-05-04T09:34:00,106.01,2023-05-04T09:40:00,105.97,-0.038,6,stop_loss
2023-05-04T09:41:00,105.97,2023-05-04T09:53:00,105.94,-0.028,12,stop_loss
2023-05-04T11:28:00,105.88,2023-05-04T12:01:00,106.18,0.283,33,take_profit
2023-05-05T10:54:00,105.07,2023-05-05T11:18:00,105.2,0.124,24,take_profit
2023-05-05T17:41:00,105.01,2023-05-05T18:20:00,105.29,0.267,39,take_profit
2023-05-05T19:46:00,105.56,2023-05-05T20:01:00,105.43,-0.123,15,stop_loss
2023-05-05T21:10:00,105.45,2023-05-05T21:46:00,105.4,-0.047,36,stop_loss
2023-05-05T21:58:00,105.36,2023-05-05T22:38:00,105.41,0.047,40,take_profit
2023-05-08T11:35:00,105.39,2023-05-08T11:41:00,105.35,-0.038,6,stop_loss
2023-05-08T18:07:00,107.23,2023-05-08T18:41:00,107.72,0.457,34,take_profit
2023-05-08T19:16:00,107.41,2023-05-08T19:39:00,107.64,0.214,23,take_profit
2023-05-08T21:20:00,108.09,2023-05-08T22:14:00,108.3,0.194,54,take_profit
2023-05-08T23:26:00,108.17,2023-05-08T23:27:00,108.11,-0.055,1,stop_loss
2023-05-08T23:28:00,108.11,2023-05-08T23:41:00,108.4,0.268,13,take_profit
2023-05-09T15:07:00,108.69,2023-05-09T15:12:00,108.37,-0.294,5,stop_loss
2023-05-09T15:13:00,108.49,2023-05-09T15:23:00,108.2,-0.267,10,stop_loss
2023-05-10T14:42:00,108.64,2023-05-10T14:45:00,108.22,-0.387,3,stop_loss
2023-05-10T14:46:00,108.39,2023-05-10T15:33:00,108.67,0.258,47,take_profit
2023-05-10T19:54:00,111.76,2023-05-10T21:03:00,112.19,0.385,69,take_profit
2023-05-10T21:47:00,111.75,2023-05-11T08:00:00,112.47,0.644,133,take_profit
2023-05-11T11:01:00,113.21,2023-05-11T11:02:00,113.06,-0.132,1,stop_loss
2023-05-11T11:03:00,113.02,2023-05-11T11:35:00,113.38,0.319,32,take_profit
2023-05-11T14:41:00,116.24,2023-05-11T14:57:00,117.35,0.955,16,take_profit
2023-05-11T17:14:00,117.16,2023-05-11T17:18:00,116.95,-0.179,4,stop_loss
2023-05-11T17:19:00,116.97,2023-05-11T17:45:00,116.76,-0.18,26,stop_loss
2023-05-11T17:46:00,116.54,2023-05-11T18:43:00,117.08,0.463,57,take_profit
2023-05-12T09:33:00,117.11,2023-05-12T09:43:00,117.02,-0.077,10,stop_loss
2023-05-12T09:44:00,117.03,2023-05-12T10:07:00,116.95,-0.068,23,stop_loss
2023-05-12T10:42:00,116.8,2023-05-12T11:08:00,116.68,-0.103,26,stop_loss
2023-05-12T21:36:00,117.33,2023-05-12T22:29:00,117.45,0.102,53,take_profit
2023-05-15T09:31:00,117.6,2023-05-15T09:32:00,117.51,-0.077,1,stop_loss
2023-05-15T16:32:00,117.01,2023-05-15T16:42:00,116.83,-0.154,10,stop_loss
2023-05-15T16:43:00,116.86,2023-05-15T16:58:00,116.67,-0.163,15,stop_loss
2023-05-16T18:31:00,119.93,2023-05-16T19:57:00,119.69,-0.2,86,stop_loss
2023-05-16T19:58:00,119.59,2023-05-16T20:01:00,119.37,-0.184,3,stop_loss
2023-05-17T18:43:00,121.14,2023-05-17T19:27:00,120.96,-0.149,44,stop_loss
2023-05-17T19:28:00,120.95,2023-05-17T19:35:00,120.79,-0.132,7,stop_loss
2023-05-17T19:36:00,120.79,2023-05-17T20:42:00,120.45,-0.281,66,stop_loss
2023-05-17T20:43:00,120.49,2023-05-17T21:10:00,120.84,0.29,27,take_profit
2023-05-18T12:01:00,120.96,2023-05-18T12:02:00,120.8,-0.132,1,stop_loss
2023-05-18T12:23:00,121.13,2023-05-18T12:35:00,120.99,-0.116,12,stop_loss
2023-05-18T16:16:00,122.02,2023-05-18T17:08:00,122.58,0.459,52,take_profit
2023-05-18T18:00:00,122.32,2023-05-18T18:05:00,122.11,-0.172,5,stop_loss
2023-05-18T18:06:00,122.07,2023-05-18T19:16:00,122.55,0.393,70,take_profit
2023-05-18T21:40:00,123.0,2023-05-18T22:07:00,123.2,0.163,27,take_profit
2023-05-18T22:46:00,122.83,2023-05-19T08:39:00,123.19,0.293,113,take_profit
2023-05-19T11:06:00,123.83,2023-05-19T11:20:00,124.14,0.25,14,take_profit
2023-05-19T13:22:00,123.7,2023-05-19T13:27:00,123.5,-0.162,5,stop_loss
2023-05-22T15:55:00,124.94,2023-05-22T16:45:00,125.27,0.264,50,take_profit
2023-05-22T18:35:00,125.35,2023-05-22T18:55:00,125.11,-0.191,20,stop_loss
