datetime,open,close,high,low,volume,status
20240826,176.72,175.5,177.47,174.3,14287300.0,1
20240827,174.31,173.12,174.89,172.25,18571600.0,1
20240828,173.69,170.8,173.69,168.92,17408600.0,1
20240829,173.22,172.12,174.29,170.81,16286700.0,1
20240830,172.78,178.5,178.9,172.6,24675600.0,1
20240903,177.55,176.25,178.26,175.26,23449600.0,1
20240904,174.44,173.33,175.98,172.54,18780400.0,1
20240905,175.03,177.89,179.88,174.99,26927200.0,1
20240906,177.28,171.39,178.38,171.16,21536300.0,1
20240909,174.53,175.4,175.85,173.51,16695400.0,1
20240910,177.49,179.55,180.5,176.79,21473700.0,1
20240911,180.03,184.52,184.99,175.73,26756500.0,1
20240912,184.86,187.0,187.41,183.54,18620500.0,1
20240913,187.0,186.49,188.5,185.91,15458100.0,1
20240916,185.29,184.89,185.81,183.36,15377000.0,1
20240917,186.84,186.88,189.45,186.14,15810600.0,1
20240918,186.45,186.43,188.8,185.06,16503900.0,1
20240919,190.04,189.87,190.99,188.47,22313700.0,1
20240920,190.28,191.6,191.84,187.41,27799700.0,1
20240923,191.63,193.88,194.41,190.57,19738900.0,1
20240924,194.3,193.96,195.37,190.13,20760500.0,1
20240925,193.75,192.53,193.95,192.16,14304800.0,1
20240926,194.31,191.16,194.55,189.54,20172100.0,1
20240927,190.71,187.97,190.9,187.34,19609900.0,1
20240930,187.14,186.33,188.49,184.65,19755500.0,1
20241001,184.9,185.13,186.19,183.45,21259700.0,1
20241002,184.45,184.76,186.6,184.04,13679100.0,1
20241003,183.05,181.96,183.44,180.87,18965500.0,1
20241004,185.77,186.51,187.6,183.6,22685900.0,1
20241007,182.95,180.8,183.6,180.25,25723300.0,1
20241008,181.97,182.72,183.09,180.92,14704100.0,1
20241009,182.93,185.17,185.85,182.05,15557100.0,1
20241010,187.12,186.65,188.14,185.83,16955300.0,1
20241011,186.63,188.82,189.93,186.33,16143200.0,1
20241014,189.71,187.54,189.83,187.36,13415900.0,1
20241015,187.6,187.69,188.41,184.58,18246300.0,1
20241016,187.05,186.89,187.78,185.61,13030700.0,1
20241017,188.19,187.53,188.94,186.0,14107300.0,1
20241018,187.14,188.99,190.74,186.28,22059600.0,1
20241021,188.12,189.07,189.46,186.4,14624100.0,1
20241022,188.4,189.7,191.53,186.97,16492500.0,1
20241023,188.88,184.71,189.16,183.69,17911200.0,1
20241024,185.36,186.38,187.11,183.86,12474500.0,1
20241025,187.85,187.83,190.45,187.53,16657300.0,1
20241028,189.55,188.39,190.21,188.21,13630100.0,1
20241029,188.58,190.83,191.46,187.81,16097000.0,1
20241030,194.73,192.73,195.61,192.42,21276300.0,1
20241031,190.62,186.4,190.62,185.23,33541600.0,1
20241101,198.88,197.93,200.5,197.02,67158300.0,1
20241104,196.54,195.78,197.33,194.31,22877600.0,1
20241105,196.04,199.5,199.82,195.99,20536600.0,1
20241106,199.91,207.09,207.55,199.14,44632100.0,1
20241107,207.42,210.05,212.25,207.19,32758900.0,1
20241108,209.78,208.18,209.97,207.44,20079600.0,1
20241111,208.52,206.84,209.65,205.59,18409000.0,1
20241112,208.37,208.91,209.54,206.01,20791700.0,1
20241113,209.4,214.1,215.07,209.14,27811700.0,1
20241114,214.16,211.48,215.9,210.88,24595900.0,1
20241115,206.48,202.61,207.34,199.65,58334200.0,1
20241118,204.16,201.7,204.67,200.95,18956300.0,1
20241119,199.23,204.61,205.3,198.8,18794500.0,1
20241120,202.96,202.88,203.13,199.45,19195100.0,1
20241121,203.03,198.38,203.49,195.75,38844600.0,1
20241122,198.25,197.12,199.26,196.75,17735400.0,1
20241125,199.27,201.45,201.95,199.0,19453400.0,1
20241126,201.9,207.86,208.0,201.85,26680000.0,1
20241127,206.98,205.74,207.64,205.05,16228300.0,1
20241129,205.87,207.89,208.2,204.59,11357500.0,1
20241202,209.9,210.71,212.99,209.51,22627300.0,1
20241203,210.4,213.44,214.02,209.65,19385200.0,1
20241204,216.01,218.16,220.0,215.75,29856000.0,1
20241205,217.99,220.55,222.15,217.3,24912600.0,1
20241206,220.81,227.03,227.15,220.6,26569400.0,1
20241209,227.15,226.09,230.08,225.67,25717000.0,1
20241210,226.09,225.04,229.06,224.2,16714200.0,1
20241211,226.41,230.26,231.2,226.26,19112600.0,1
20241212,229.59,228.97,231.09,227.63,14251100.0,1
20241213,228.4,227.46,230.2,225.86,15824700.0,1
20241216,230.21,232.93,233.0,228.01,17819300.0,1
20241217,232.39,231.15,232.73,227.85,17454400.0,1
20241218,230.17,220.52,231.4,220.11,22561300.0,1
20241219,225.15,223.29,226.09,222.92,18122400.0,1
20241220,219.9,224.92,226.21,218.73,25111000.0,1
20241223,225.0,225.06,226.88,223.9,11739000.0,1
20241224,226.79,229.05,229.14,226.13,8318800.0,1
20241226,227.79,227.05,228.5,226.67,9121900.0,1
20241227,225.6,223.75,226.03,220.9,14973800.0,1
20241230,220.08,221.3,223.0,218.43,14524000.0,1
