date,open,high,low,close,price,volume
202606161031,209.02,209.08,208.65,208.67,208.67,244264.0
202606161032,208.71,208.88,208.53,208.7,208.7,279702.0
202606161033,208.69,208.98,208.63,208.97,208.97,234639.0
202606161034,208.95,209.01,208.66,208.66,208.66,243563.0
202606161035,208.65,209.06,208.61,208.95,208.95,283795.0
202606161036,208.96,209.21,208.91,209.02,209.02,209386.0
202606161037,209.03,209.15,208.83,209.13,209.13,164368.0
202606161038,209.14,209.3,209.11,209.23,209.23,176706.0
202606161039,209.23,209.25,209.1,209.14,209.14,122292.0
202606161040,209.13,209.44,209.02,209.43,209.43,170433.0
202606161041,209.43,209.61,209.4,209.45,209.45,256695.0
202606161042,209.48,209.57,209.4,209.47,209.47,149314.0
202606161043,209.47,209.47,209.32,209.35,209.35,87099.0
202606161044,209.37,209.51,209.3,209.37,209.37,129636.0
202606161045,209.36,209.39,209.12,209.19,209.19,168520.0
202606161046,209.19,209.46,209.16,209.41,209.41,125527.0
202606161047,209.42,209.43,209.26,209.31,209.31,128335.0
202606161048,209.32,209.55,209.29,209.37,209.37,176148.0
202606161049,209.39,209.49,209.26,209.28,209.28,82483.0
202606161050,209.28,209.56,209.26,209.53,209.53,136197.0
202606161051,209.54,209.77,209.51,209.62,209.62,256721.0
202606161052,209.62,209.76,209.44,209.74,209.74,109110.0
202606161053,209.74,209.81,209.58,209.66,209.66,190141.0
202606161054,209.68,209.69,209.46,209.57,209.57,140728.0
202606161055,209.57,209.6,209.41,209.5,209.5,186875.0
202606161056,209.5,209.59,209.28,209.42,209.42,131997.0
202606161057,209.42,209.48,209.32,209.35,209.35,106847.0
202606161058,209.35,209.51,209.01,209.01,209.01,177931.0
202606161059,209.01,209.35,208.73,209.33,209.33,334011.0
202606161100,209.35,209.49,209.23,209.39,209.39,154871.0
202606161101,209.39,209.4,209.22,209.37,209.37,125886.0
202606161102,209.38,209.39,209.18,209.24,209.24,199098.0
202606161103,209.21,209.39,209.14,209.37,209.37,128971.0
202606161104,209.36,209.43,209.29,209.37,209.37,134965.0
202606161105,209.39,209.66,209.3,209.63,209.63,214394.0
202606161106,209.61,209.77,209.48,209.76,209.76,151953.0
202606161107,209.74,209.84,209.57,209.76,209.76,177915.0
202606161108,209.77,209.94,209.68,209.88,209.88,194929.0
202606161109,209.88,210.04,209.8,209.97,209.97,249962.0
202606161110,209.98,210.32,209.92,210.27,210.27,382064.0
202606161111,210.27,210.31,209.96,209.96,209.96,168319.0
202606161112,209.96,209.99,209.58,209.61,209.61,174055.0
202606161113,209.58,209.99,209.56,209.69,209.69,137596.0
202606161114,209.7,209.75,209.59,209.7,209.7,117129.0
202606161115,209.71,209.74,209.59,209.61,209.61,99006.0
202606161116,209.62,209.81,209.59,209.7,209.7,73345.0
202606161117,209.7,209.75,209.45,209.46,209.46,106540.0
202606161118,209.47,209.48,209.18,209.42,209.42,231063.0
202606161119,209.4,209.6,209.25,209.27,209.27,134241.0
202606161120,209.27,209.34,209.12,209.14,209.14,190936.0
202606161121,209.14,209.45,209.14,209.27,209.27,139078.0
202606161122,209.24,209.27,209.03,209.12,209.12,127147.0
202606161123,209.11,209.35,209.08,209.27,209.27,147529.0
202606161124,209.24,209.31,209.11,209.21,209.21,153181.0
202606161125,209.21,209.36,209.12,209.3,209.3,157466.0
202606161126,209.28,209.31,208.88,208.88,208.88,292952.0
202606161127,208.89,209.11,208.81,208.84,208.84,164280.0
202606161128,208.84,209.04,208.7,209.0,209.0,224272.0
202606161129,208.98,209.22,208.96,209.15,209.15,110759.0
202606161130,209.16,209.27,209.06,209.25,209.25,126189.0
202606161131,209.26,209.28,209.12,209.19,209.19,103057.0
202606161132,209.19,209.36,209.11,209.3,209.3,133781.0
202606161133,209.3,209.42,209.14,209.35,209.35,130007.0
202606161134,209.36,209.48,209.31,209.4,209.4,127482.0
202606161135,209.41,209.66,209.41,209.6,209.6,172908.0
202606161136,209.6,209.66,209.35,209.38,209.38,108733.0
202606161137,209.39,209.47,209.34,209.41,209.41,70395.0
202606161138,209.42,209.53,209.33,209.38,209.38,107183.0
202606161139,209.37,209.49,209.18,209.42,209.42,148029.0
202606161140,209.43,209.44,209.25,209.34,209.34,145701.0
202606161141,209.33,209.43,209.2,209.24,209.24,119775.0
202606161142,209.26,209.29,209.03,209.05,209.05,144715.0
202606161143,209.07,209.1,208.95,208.98,208.98,189120.0
202606161144,209.0,209.09,208.9,209.09,209.09,211383.0
202606161145,209.08,209.17,208.91,208.92,208.92,113615.0
202606161146,208.95,208.97,208.63,208.66,208.66,283227.0
202606161147,208.67,208.8,208.58,208.74,208.74,212490.0
202606161148,208.73,208.77,208.52,208.66,208.66,160386.0
202606161149,208.68,208.97,208.66,208.82,208.82,152259.0
202606161150,208.82,208.98,208.66,208.97,208.97,163794.0
202606161151,208.96,209.0,208.79,208.97,208.97,142230.0
202606161152,208.97,209.14,208.86,209.14,209.14,118452.0
202606161153,209.14,209.4,209.1,209.37,209.37,198502.0
202606161154,209.35,209.56,209.27,209.49,209.49,153973.0
202606161155,209.46,209.5,209.29,209.31,209.31,133401.0
202606161156,209.32,209.54,209.22,209.47,209.47,164870.0
202606161157,209.48,209.54,209.44,209.46,209.46,116800.0
202606161158,209.45,209.56,209.14,209.23,209.23,187994.0
202606161159,209.23,209.39,209.14,209.17,209.17,71104.0
202606161200,209.15,209.52,209.15,209.52,209.52,123311.0
202606161201,209.52,209.66,209.38,209.42,209.42,191518.0
202606161202,209.42,209.58,209.41,209.56,209.56,92208.0
202606161203,209.58,209.72,209.54,209.69,209.69,132627.0
202606161204,209.69,209.7,209.46,209.52,209.52,112435.0
202606161205,209.54,209.72,209.49,209.6,209.6,182008.0
202606161206,209.59,209.67,209.46,209.58,209.58,94722.0
202606161207,209.6,209.62,209.44,209.46,209.46,73055.0
202606161208,209.45,209.55,209.38,209.51,209.51,90504.0
202606161209,209.52,209.65,209.51,209.58,209.58,115481.0
202606161210,209.57,209.64,209.45,209.49,209.49,93711.0
202606161211,209.48,209.51,209.33,209.51,209.51,123392.0
202606161212,209.51,209.65,209.46,209.57,209.57,97778.0
202606161213,209.57,209.62,209.39,209.42,209.42,92102.0
202606161214,209.43,209.51,209.35,209.36,209.36,89463.0
202606161215,209.35,209.52,209.35,209.49,209.49,68268.0
202606161216,209.49,209.56,209.3,209.36,209.36,96081.0
202606161217,209.34,209.36,209.17,209.21,209.21,120045.0
202606161218,209.21,209.44,209.16,209.31,209.31,153155.0
202606161219,209.3,209.38,209.17,209.34,209.34,140193.0
202606161220,209.35,209.39,209.23,209.32,209.32,80276.0
202606161221,209.33,209.44,209.31,209.37,209.37,74980.0
202606161222,209.38,209.51,209.29,209.35,209.35,102156.0
202606161223,209.36,209.41,209.31,209.4,209.4,59102.0
202606161224,209.39,209.46,209.35,209.39,209.39,69342.0
202606161225,209.38,209.39,209.31,209.35,209.35,80072.0
202606161226,209.36,209.37,209.23,209.28,209.28,68955.0
202606161227,209.29,209.36,209.24,209.27,209.27,46936.0
202606161228,209.28,209.38,209.22,209.34,209.34,55852.0
202606161229,209.36,209.39,209.27,209.29,209.29,64260.0
202606161230,209.29,209.3,209.01,209.01,209.01,138870.0
202606161231,209.01,209.05,208.61,208.64,208.64,234943.0
202606161232,208.64,208.78,208.5,208.62,208.62,277651.0
202606161233,208.62,208.78,208.59,208.73,208.73,163528.0
202606161234,208.74,208.76,208.52,208.53,208.53,139211.0
202606161235,208.54,208.86,208.51,208.79,208.79,137950.0
202606161236,208.78,208.8,208.5,208.53,208.53,154808.0
202606161237,208.53,208.57,208.43,208.51,208.51,140504.0
202606161238,208.52,208.52,208.37,208.4,208.4,186266.0
202606161239,208.41,208.55,208.28,208.51,208.51,178361.0
202606161240,208.52,208.63,208.43,208.55,208.55,136005.0
202606161241,208.55,208.8,208.54,208.7,208.7,116353.0
202606161242,208.71,208.88,208.7,208.79,208.79,93720.0
202606161243,208.78,208.93,208.76,208.9,208.9,82476.0
202606161244,208.92,208.92,208.71,208.77,208.77,137233.0
202606161245,208.78,208.78,208.57,208.67,208.67,153254.0
202606161246,208.68,208.92,208.66,208.9,208.9,101522.0
202606161247,208.9,209.0,208.86,208.94,208.94,145982.0
202606161248,208.93,208.94,208.81,208.81,208.81,65874.0
202606161249,208.83,208.9,208.81,208.87,208.87,47962.0
