datetime,ma200,ma150,ma50
202606301751,418.3847,413.3626,404.7513
202606301752,418.3863,413.3648,404.7578
202606301753,418.3867,413.3653,404.7594
202606301754,418.3863,413.3648,404.7578
202606301755,418.388,413.367,404.7644
202606301756,418.389,413.3684,404.7686
202606301757,418.3894,413.3689,404.7702
202606301758,418.3884,413.3675,404.766
202606301759,418.3887,413.368,404.7674
202606301800,418.3905,413.3704,404.7746
202606301801,418.3924,413.3728,404.7819
202606301802,418.3916,413.3719,404.779
202606301803,418.39,413.3697,404.7726
202606301804,418.3912,413.3713,404.7772
202606301805,418.3889,413.3683,404.7682
202606301806,418.3892,413.3686,404.7692
202606301807,418.3899,413.3695,404.7719
202606301808,418.393,413.3737,404.7846
202606301809,418.3925,413.373,404.7824
202606301810,418.3926,413.3731,404.7828
202606301811,418.3922,413.3726,404.7812
202606301812,418.3947,413.3759,404.7912
202606301813,418.3954,413.3769,404.7942
202606301814,418.3963,413.3781,404.7976
202606301815,418.3962,413.378,404.7974
202606301816,418.397,413.379,404.8004
202606301817,418.3981,413.3805,404.805
202606301818,418.3971,413.3792,404.801
202606301819,418.3976,413.3799,404.803
202606301820,418.3971,413.3791,404.8008
202606301821,418.3973,413.3794,404.8016
202606301822,418.3968,413.3788,404.7997
202606301823,418.3957,413.3773,404.7954
202606301824,418.3967,413.3786,404.7992
202606301825,418.395,413.3763,404.7924
202606301826,418.3953,413.3768,404.7938
202606301827,418.3953,413.3768,404.7937
202606301828,418.3949,413.3762,404.792
202606301829,418.3956,413.3771,404.7947
202606301830,418.3942,413.3753,404.7892
202606301831,418.3946,413.3759,404.791
202606301832,418.3947,413.376,404.7914
202606301833,418.3957,413.3773,404.7954
202606301834,418.3955,413.377,404.7944
202606301835,418.3962,413.378,404.7974
202606301836,418.3932,413.3739,404.785
202606301837,418.3947,413.376,404.7914
202606301838,418.3944,413.3755,404.79
202606301839,418.3971,413.3792,404.801
202606301840,418.3961,413.3778,404.7968
202606301841,418.3986,413.3811,404.8068
202606301842,418.3991,413.3817,404.8086
202606301843,418.3987,413.3813,404.8074
202606301844,418.3977,413.38,404.8034
202606301845,418.399,413.3817,404.8084
202606301846,418.3983,413.3807,404.8056
202606301847,418.3992,413.382,404.8094
202606301848,418.4027,413.3866,404.8232
202606301849,418.4043,413.3888,404.8298
202606301850,418.4012,413.3846,404.8172
202606301851,418.401,413.3844,404.8166
202606301852,418.4008,413.3841,404.8157
202606301853,418.4018,413.3854,404.8197
202606301854,418.4018,413.3854,404.8196
202606301855,418.4001,413.3831,404.8127
202606301856,418.402,413.3857,404.8204
202606301857,418.4022,413.386,404.8214
202606301858,418.4074,413.3929,404.8421
202606301859,418.4109,413.3975,404.8559
202606301900,418.4145,413.4023,404.8704
202606301901,418.414,413.4017,404.8684
202606301902,418.409,413.395,404.8484
202606301903,418.414,413.4017,404.8685
202606301904,418.4146,413.4025,404.8709
202606301905,418.4172,413.406,404.8814
202606301906,418.4143,413.4021,404.8698
202606301907,418.4132,413.4007,404.8654
202606301908,418.4182,413.4073,404.8852
202606301909,418.4204,413.4103,404.8942
202606301910,418.4199,413.4095,404.892
202606301911,418.4176,413.4065,404.8829
202606301912,418.4135,413.401,404.8664
202606301913,418.4163,413.4048,404.8778
202606301914,418.4207,413.4107,404.8954
202606301915,418.4214,413.4115,404.8979
202606301916,418.4199,413.4095,404.892
202606301917,418.4221,413.4125,404.9009
202606301918,418.4189,413.4082,404.888
202606301919,418.4181,413.4072,404.885
202606301920,418.4175,413.4064,404.8825
202606301921,418.4159,413.4042,404.876
202606301922,418.4154,413.4035,404.874
202606301923,418.4111,413.3979,404.857
202606301924,418.4134,413.4008,404.8659
202606301925,418.4101,413.3965,404.853
202606301926,418.4111,413.3978,404.8569
202606301927,418.4116,413.3985,404.859
202606301928,418.4163,413.4048,404.8778
202606301929,418.418,413.4071,404.8846
202606301930,418.4181,413.4071,404.8848
202606301931,418.414,413.4017,404.8686
202606301932,418.4153,413.4035,404.8738
202606301933,418.4146,413.4024,404.8707
202606301934,418.4148,413.4027,404.8716
202606301935,418.4145,413.4024,404.8706
202606301936,418.4142,413.402,404.8693
202606301937,418.4145,413.4023,404.8704
202606301938,418.4152,413.4033,404.8732
202606301939,418.4156,413.4038,404.8748
202606301940,418.4154,413.4036,404.8742
202606301941,418.4152,413.4033,404.8734
202606301942,418.4174,413.4062,404.882
202606301943,418.4166,413.4051,404.8788
202606301944,418.4151,413.4031,404.8728
202606301945,418.4129,413.4002,404.864
202606301946,418.4104,413.3969,404.854
202606301947,418.4123,413.3994,404.8616
202606301948,418.4117,413.3986,404.8591
202606301949,418.4096,413.3958,404.8509
202606301950,418.4081,413.3938,404.8448
202606301951,418.4096,413.3958,404.8508
202606301952,418.4063,413.3915,404.8378
202606301953,418.4089,413.3949,404.8482
202606301954,418.4043,413.3887,404.8296
202606301955,418.4097,413.3959,404.8512
202606301956,418.4055,413.3904,404.8346
202606301957,418.4079,413.3935,404.8439
202606301958,418.4058,413.3907,404.8356
202606301959,418.4023,413.3861,404.8218
202606302000,418.4023,413.3861,404.8216
202607010941,418.513,413.5451,405.3274
202607011330,418.5497,413.594,405.4741
202607011331,418.5306,413.5686,405.3978
