datetime,open,close,high,low,volume,status
20241220,129.75,134.7,135.28,128.22,161062200.0,1
20241223,136.24,139.67,139.79,135.12,127968000.0,1
20241224,140.01,140.22,141.9,138.65,74628600.0,1
20241226,139.64,139.93,140.85,137.73,87519400.0,1
20241227,138.57,137.01,139.02,134.71,125583600.0,1
20241230,134.83,137.49,140.27,134.02,127371400.0,1
20241231,137.97,134.29,138.07,133.83,115156300.0,1
20250102,136.0,138.31,138.88,134.63,142570100.0,1
20250103,140.0,144.47,144.9,139.73,163121600.0,1
20250106,148.59,149.43,152.16,147.82,182174400.0,1
20250107,153.02,140.14,153.13,140.01,253529500.0,1
20250108,142.59,140.11,143.95,137.56,159495600.0,1
20250110,137.45,135.91,139.92,134.22,141108600.0,1
20250113,129.99,133.23,133.49,129.51,135472500.0,1
20250114,136.04,131.76,136.38,130.05,142804900.0,1
20250115,133.65,136.24,136.45,131.29,129791900.0,1
20250116,138.64,133.57,138.75,133.49,138128300.0,1
20250117,136.7,137.71,138.5,135.46,129708700.0,1
20250121,139.24,140.83,141.83,137.09,123205300.0,1
20250122,144.71,147.07,147.79,143.67,161569100.0,1
20250123,145.05,147.22,147.23,143.72,108630700.0,1
20250124,148.37,142.62,148.97,141.88,165302700.0,1
20250127,124.8,118.42,128.4,116.7,530229000.0,1
20250128,121.81,128.99,129.0,116.25,428358500.0,1
20250129,126.5,123.7,126.89,120.05,293373000.0,1
20250130,123.1,124.65,125.0,118.1,271117300.0,1
20250131,123.78,120.07,127.85,119.19,266006500.0,1
20250203,114.76,116.66,118.57,113.01,257127800.0,1
20250204,116.96,118.65,121.2,116.7,173897800.0,1
20250205,121.75,124.83,125.0,120.76,188492600.0,1
20250206,127.43,128.68,128.77,125.21,181604000.0,1
20250207,129.22,129.84,130.37,125.0,170048500.0,1
20250210,130.05,133.57,135.0,129.96,155348500.0,1
20250211,132.58,132.8,134.48,131.02,134247200.0,1
20250212,130.01,131.14,132.24,129.08,113737300.0,1
20250213,131.55,135.29,136.5,131.17,146069500.0,1
20250214,136.48,138.85,139.25,135.54,143820000.0,1
20250218,141.27,139.4,143.44,137.92,154413100.0,1
20250219,139.51,139.23,141.36,137.22,122174600.0,1
20250220,140.14,140.11,140.66,136.79,105154800.0,1
20250221,139.99,134.43,141.46,134.03,156604100.0,1
20250224,136.83,130.28,138.59,130.1,169028100.0,1
20250225,129.98,126.63,130.2,124.44,191663100.0,1
20250226,129.95,131.28,133.73,128.49,199140900.0,1
20250227,135.0,120.15,135.01,120.05,310953300.0,1
20250228,118.04,124.92,125.09,116.4,251350800.0,1
20250303,123.5,114.06,123.7,112.28,304500300.0,1
20250304,110.65,115.99,119.31,110.11,283780600.0,1
20250305,117.58,117.3,118.28,114.51,200065100.0,1
20250306,113.48,110.57,115.35,110.22,224010900.0,1
20250307,111.25,112.69,113.48,107.57,258882100.0,1
20250310,109.94,106.98,111.85,105.46,269307200.0,1
20250311,107.02,108.76,112.24,104.79,260992200.0,1
20250312,114.12,115.74,116.76,112.88,238311100.0,1
20250313,117.03,115.58,117.76,113.79,224187900.0,1
20250314,118.6,121.67,121.88,118.15,200065700.0,1
20250317,122.71,119.53,122.89,118.03,192397300.0,1
20250318,117.96,115.43,119.02,114.54,223411000.0,1
20250319,117.27,117.52,120.45,115.68,202741500.0,1
20250320,116.55,118.53,120.2,116.47,170622500.0,1
20250321,116.94,117.7,117.99,115.42,165033100.0,1
20250324,119.88,121.41,122.22,119.34,149033600.0,1
20250325,120.53,120.69,121.29,118.92,123158100.0,1
20250326,118.73,113.76,118.84,112.71,220878800.0,1
20250327,111.35,111.43,114.45,110.69,168787800.0,1
20250328,111.48,109.67,112.87,109.07,168954100.0,1
20250331,105.12,108.38,108.96,103.65,205996900.0,1
20250401,108.52,110.15,110.2,106.47,163689400.0,1
20250402,107.29,110.42,111.98,106.79,154366200.0,1
20250403,103.51,101.8,105.63,101.6,240836500.0,1
20250404,98.95,94.31,100.08,92.11,373130000.0,1
20250407,87.46,97.64,101.75,86.62,434484200.0,1
20250408,103.81,96.3,105.85,94.46,349360100.0,1
